group,treated,treated_male,treated_upvotes,id,male,age,job_raw,region_raw,poli_conserv,poli_conserv_fill,party_raw,party_liberal,party_conserv,metoo_attitude,comm_attitude,comm_hate,comm_liking,comm_user_attitude,comm_report,reply_attitude,reply_upvotes,reply_maleportion,reply_socialnorm,reply_liking,reply_user_attitude,reply_user_realname,reply_user_male,reply_user_female,reply_user_dontknow,reply_report,youtube_attitude,youtube_selfcorrection,youtube_regulation,law_individual,law_company,education,income
1,0,0,0,917ead1,0,40,기타,경남,,3,,0,0,4,1,4,1,2,3,,,,,,,,,,,,3,2,5,4,5,4,2
1,0,0,0,2f06402,1,38,사무/기술직,서울,5,5,2,0,1,1,2,4,1,2,4,,,,,,,,,,,,4,2,4,4,4,6,9
1,0,0,0,1638ea4,0,24,대학생,경기,2,2,1,1,0,4,1,4,1,1,5,,,,,,,,,,,,4,4,3,4,4,8,8
1,0,0,0,f7abf16,1,22,대학생,제주,,3,,0,0,3,2,5,1,2,4,,,,,,,,,,,,3,5,3,2,3,5,6
1,0,0,0,e888530,0,40,사무/기술직,부산,3,3,,0,0,4,3,4,2,2,2,,,,,,,,,,,,2,2,3,4,4,6,7
1,0,0,0,8f2a23d,0,21,사무/기술직,경기,3,3,,0,0,3,2,4,2,2,2,,,,,,,,,,,,3,3,4,3,3,2,5
1,0,0,0,11b597b,1,35,사무/기술직,경기,2,2,1,1,0,3,3,3,2,2,3,,,,,,,,,,,,4,3,4,4,5,8,5
1,0,0,0,4cbc41e,1,29,판매/영업 서비스직,경기,4,4,,0,0,2,3,2,4,3,1,,,,,,,,,,,,5,3,2,1,4,6,11
1,0,0,0,06453b5,0,48,전업주부,경기,3,3,,0,0,4,3,3,2,3,2,,,,,,,,,,,,3,4,4,4,4,6,5
1,0,0,0,4fa742f,0,40,전업주부,충북,2,2,1,1,0,4,1,5,1,1,5,,,,,,,,,,,,3,3,4,5,5,6,7
1,0,0,0,67ed28b,0,20,대학생,강원,2,2,1,1,0,4,1,5,1,1,5,,,,,,,,,,,,3,2,4,5,5,5,4
1,0,0,0,eaf0950,1,29,사무/기술직,대구,4,4,2,0,1,4,3,3,2,2,3,,,,,,,,,,,,4,4,2,4,4,8,3
1,0,0,0,45bdb4f,1,35,사무/기술직,울산,3,3,,0,0,3,1,4,1,2,2,,,,,,,,,,,,4,2,4,4,5,4,6
1,0,0,0,3cd150e,0,44,사무/기술직,경기,2,2,,0,0,3,2,4,2,1,2,,,,,,,,,,,,3,5,3,4,2,2,3
1,0,0,0,90d3453,1,59,경영/관리직,서울,4,4,2,0,1,2,2,4,1,2,3,,,,,,,,,,,,4,2,3,2,3,6,8
1,0,0,0,97a7e2e,1,34,자유/전문직,경기,5,5,2,0,1,4,1,4,1,2,4,,,,,,,,,,,,4,2,4,5,5,6,4
1,0,0,0,702c83d,0,30,사무/기술직,서울,3,3,,0,0,4,2,3,1,2,2,,,,,,,,,,,,3,4,3,4,4,6,8
1,0,0,0,e6aba84,0,28,무직,강원,3,3,,0,0,4,1,5,1,1,4,,,,,,,,,,,,4,4,4,4,4,4,1
1,0,0,0,bf4ef01,1,32,사무/기술직,서울,3,3,1,1,0,3,3,3,3,3,3,,,,,,,,,,,,2,3,3,4,3,8,4
1,0,0,0,5e37038,1,26,자유/전문직,서울,2,2,1,1,0,4,2,4,1,2,2,,,,,,,,,,,,4,3,2,4,4,6,5
1,0,0,0,3981abe,0,34,전업주부,경남,3,3,1,1,0,4,2,5,1,1,4,,,,,,,,,,,,4,3,3,3,3,4,6
1,0,0,0,c3e867c,1,42,사무/기술직,서울,4,4,,0,0,3,4,3,2,3,2,,,,,,,,,,,,4,4,2,3,4,6,10
1,0,0,0,a5d6299,0,31,전업주부,인천,2,2,1,1,0,4,3,4,1,2,1,,,,,,,,,,,,4,2,4,5,4,6,3
1,0,0,0,f9deba8,0,23,무직,전남,,3,1,1,0,3,1,5,1,1,3,,,,,,,,,,,,4,2,4,5,5,6,5
1,0,0,0,54f71f1,0,35,사무/기술직,충북,,3,1,1,0,3,2,5,1,1,4,,,,,,,,,,,,4,3,3,4,4,6,4
1,0,0,0,7c22bad,0,31,무직,부산,3,3,1,1,0,3,2,2,3,3,2,,,,,,,,,,,,4,3,3,3,3,5,6
1,0,0,0,89d18b2,0,34,자유/전문직,경기,2,2,,0,0,3,1,4,1,1,3,,,,,,,,,,,,4,3,4,4,4,4,5
1,0,0,0,085df5d,1,48,사무/기술직,경남,2,2,1,1,0,3,3,4,2,3,2,,,,,,,,,,,,4,3,4,4,4,6,5
1,0,0,0,999110f,1,40,사무/기술직,경기,3,3,,0,0,2,4,2,4,3,2,,,,,,,,,,,,4,4,3,3,3,6,4
1,0,0,0,d83ea7c,1,41,무직,대구,2,2,1,1,0,2,2,4,2,2,1,,,,,,,,,,,,3,2,3,2,3,6,4
1,0,0,0,0239825,0,29,판매/영업 서비스직,경기,4,4,,0,0,5,1,5,1,1,5,,,,,,,,,,,,4,2,3,4,3,6,6
1,0,0,0,9412e1b,1,45,기능/작업직,경기,2,2,2,0,1,5,1,5,1,1,2,,,,,,,,,,,,4,1,5,4,5,2,9
1,0,0,0,4814278,0,48,사무/기술직,경기,1,1,1,1,0,4,1,5,1,1,4,,,,,,,,,,,,4,1,5,5,5,6,5
1,0,0,0,fcc3da2,0,37,전업주부,전북,2,2,1,1,0,5,1,5,1,1,5,,,,,,,,,,,,3,5,5,5,5,6,4
1,0,0,0,9e4a3ef,1,48,사무/기술직,경기,2,2,1,1,0,4,2,4,2,2,4,,,,,,,,,,,,3,5,5,4,4,6,5
1,0,0,0,1e5659a,1,49,기타,경기,3,3,1,1,0,3,2,4,4,3,3,,,,,,,,,,,,3,3,3,3,3,4,5
1,0,0,0,2a46d80,1,35,사무/기술직,경북,3,3,2,0,1,3,2,3,3,3,2,,,,,,,,,,,,2,3,4,4,4,6,5
1,0,0,0,afab3e4,1,35,경영/관리직,부산,1,1,,0,0,2,4,3,4,4,2,,,,,,,,,,,,3,4,3,3,2,8,8
1,0,0,0,0af9874,1,33,자유/전문직,서울,4,4,,0,0,3,3,3,3,3,3,,,,,,,,,,,,3,3,3,3,3,8,3
1,0,0,0,a3950df,1,25,사무/기술직,서울,2,2,,0,0,2,3,3,3,3,3,,,,,,,,,,,,4,1,4,3,3,6,3
1,0,0,0,fec03eb,0,28,자영업,경기,3,3,1,1,0,4,2,4,1,1,4,,,,,,,,,,,,4,4,3,2,3,4,9
1,0,0,0,632ed91,1,28,자영업,대전,3,3,,0,0,3,3,3,2,2,3,,,,,,,,,,,,4,4,3,4,4,6,7
1,0,0,0,c92d82a,0,30,대학생,경기,3,3,,0,0,3,2,4,1,2,3,,,,,,,,,,,,4,2,4,5,3,3,3
1,0,0,0,dee0b4d,0,53,자영업,서울,2,2,1,1,0,4,4,4,2,2,2,,,,,,,,,,,,4,5,3,5,4,4,6
1,0,0,0,2b87f13,1,55,전업주부,광주,2,2,1,1,0,2,4,2,4,4,2,,,,,,,,,,,,2,4,5,2,4,2,4
1,0,0,0,9e8482a,0,33,무직,경기,3,3,1,1,0,3,1,5,1,1,3,,,,,,,,,,,,5,4,4,5,4,2,5
1,0,0,0,80b19f1,0,36,사무/기술직,울산,4,4,2,0,1,4,2,4,2,2,1,,,,,,,,,,,,4,3,2,5,4,6,7
1,0,0,0,a16e299,0,40,경영/관리직,경기,2,2,2,0,1,5,1,4,1,1,3,,,,,,,,,,,,2,2,4,5,5,4,7
1,0,0,0,4948447,1,24,대학생,서울,,3,1,1,0,4,5,4,1,3,2,,,,,,,,,,,,5,3,4,5,5,5,6
1,0,0,0,68babfb,1,46,판매/영업 서비스직,경북,4,4,2,0,1,4,3,2,3,4,2,,,,,,,,,,,,3,2,4,4,4,6,5
1,0,0,0,57aa69d,1,40,사무/기술직,서울,2,2,1,1,0,3,2,3,2,2,1,,,,,,,,,,,,5,3,2,4,3,6,9
1,0,0,0,50086f0,0,21,대학생,서울,4,4,1,1,0,5,1,5,1,1,5,,,,,,,,,,,,3,2,5,5,5,5,10
1,0,0,0,bc937b7,1,24,대학생,세종,2,2,,0,0,5,3,3,2,3,2,,,,,,,,,,,,4,2,4,5,5,5,5
1,0,0,0,ce769d2,0,55,자유/전문직,서울,2,2,1,1,0,5,1,5,1,1,4,,,,,,,,,,,,4,2,4,4,4,8,11
1,0,0,0,b16b119,0,26,사무/기술직,경기,2,2,1,1,0,5,1,5,1,1,5,,,,,,,,,,,,5,4,4,5,5,6,10
1,0,0,0,b986b99,0,40,전업주부,부산,4,4,,0,0,4,2,4,1,1,4,,,,,,,,,,,,3,2,4,4,4,6,4
1,0,0,0,b057a92,1,50,사무/기술직,경기,3,3,,0,0,5,1,5,1,1,3,,,,,,,,,,,,3,5,5,5,5,2,6
1,0,0,0,ead52cb,1,32,자유/전문직,경기,2,2,1,1,0,3,2,4,1,2,4,,,,,,,,,,,,4,2,5,5,5,6,4
1,0,0,0,cafd0e1,0,51,전업주부,인천,4,4,2,0,1,5,1,5,1,1,5,,,,,,,,,,,,4,4,4,5,5,4,7
1,0,0,0,e99bc50,0,50,전업주부,서울,2,2,1,1,0,5,1,5,1,1,2,,,,,,,,,,,,4,4,3,4,5,6,6
1,0,0,0,de26bd7,1,59,경영/관리직,경북,3,3,4,0,0,5,2,4,1,2,3,,,,,,,,,,,,4,3,4,3,3,6,5
1,0,0,0,60c04db,0,57,전업주부,부산,3,3,,0,0,4,2,4,1,2,3,,,,,,,,,,,,3,4,3,3,4,6,5
1,0,0,0,1ed851c,1,31,기타,경기,3,3,1,1,0,2,3,4,2,2,1,,,,,,,,,,,,5,2,5,4,5,6,7
1,0,0,0,8031f09,0,29,무직,대전,2,2,1,1,0,3,2,4,1,2,3,,,,,,,,,,,,4,2,4,4,4,8,4
1,0,0,0,6cbaf46,0,23,대학생,서울,2,2,1,1,0,4,1,4,2,1,3,,,,,,,,,,,,4,4,4,4,4,5,8
1,0,0,0,fa136da,0,35,사무/기술직,서울,3,3,3,1,0,3,1,5,1,1,3,,,,,,,,,,,,3,2,4,4,3,4,3
1,0,0,0,8c58c41,1,22,대학생,울산,3,3,,0,0,3,3,2,3,3,3,,,,,,,,,,,,2,4,4,3,3,3,7
1,0,0,0,66e79aa,0,41,기타,서울,2,2,4,0,0,3,2,4,1,1,2,,,,,,,,,,,,5,4,3,3,4,6,4
1,0,0,0,4799698,0,27,기타,울산,2,2,1,1,0,4,1,5,1,1,3,,,,,,,,,,,,4,3,4,4,4,2,11
1,0,0,0,d20c74f,0,26,판매/영업 서비스직,서울,,3,1,1,0,5,1,5,1,1,5,,,,,,,,,,,,3,1,5,5,5,2,11
1,0,0,0,3283e15,0,23,대학생,경기,,3,3,1,0,5,1,5,1,1,5,,,,,,,,,,,,4,4,2,4,5,5,6
1,0,0,0,e70cc82,1,33,자유/전문직,서울,2,2,,0,0,4,1,3,1,1,2,,,,,,,,,,,,4,3,3,3,3,7,11
1,0,0,0,061170a,0,31,사무/기술직,부산,2,2,1,1,0,5,1,5,5,1,5,,,,,,,,,,,,4,3,5,5,5,6,8
1,0,0,0,4c52d1e,0,29,자영업,서울,3,3,,0,0,3,1,5,1,1,3,,,,,,,,,,,,3,3,4,4,4,5,11
1,0,0,0,7cfd0de,1,46,경영/관리직,경기,2,2,1,1,0,5,2,4,1,2,2,,,,,,,,,,,,4,5,4,5,5,4,5
1,0,0,0,dd2584c,1,38,사무/기술직,경기,2,2,4,0,0,3,3,4,2,3,3,,,,,,,,,,,,3,2,4,4,3,4,5
1,0,0,0,0de8006,1,27,대학원생,대전,5,5,2,0,1,5,3,3,2,3,2,,,,,,,,,,,,4,2,5,5,5,7,1
1,0,0,0,8ae2d82,0,20,사무/기술직,경기,3,3,,0,0,3,1,4,1,1,2,,,,,,,,,,,,4,2,5,4,4,2,7
1,0,0,0,84757b2,0,21,대학생,대구,3,3,1,1,0,3,2,4,2,3,2,,,,,,,,,,,,3,4,4,4,4,5,5
1,0,0,0,0f4180b,1,21,대학생,서울,2,2,4,0,0,3,3,4,2,2,3,,,,,,,,,,,,4,2,4,5,5,5,4
1,0,0,0,451a936,0,23,대학생,서울,2,2,,0,0,5,1,5,1,1,5,,,,,,,,,,,,3,2,5,5,5,4,6
1,0,0,0,b728011,1,32,사무/기술직,서울,4,4,,0,0,3,2,4,2,2,2,,,,,,,,,,,,4,4,1,2,2,6,8
1,0,0,0,4f4e704,0,28,전업주부,경기,3,3,,0,0,4,1,3,1,1,4,,,,,,,,,,,,3,3,4,4,4,6,6
1,0,0,0,6682975,0,28,사무/기술직,충북,2,2,,0,0,5,1,5,1,2,4,,,,,,,,,,,,2,2,5,5,4,6,5
1,0,0,0,7a47f74,0,37,사무/기술직,인천,3,3,1,1,0,4,2,4,1,1,5,,,,,,,,,,,,3,3,4,4,4,6,9
1,0,0,0,b901c02,1,39,사무/기술직,서울,5,5,2,0,1,4,2,3,2,2,3,,,,,,,,,,,,2,2,4,2,2,6,8
1,0,0,0,3f0e8ff,1,28,사무/기술직,서울,4,4,,0,0,2,3,3,2,3,2,,,,,,,,,,,,3,3,4,3,3,6,3
1,0,0,0,5ec5e25,1,54,자유/전문직,경기,4,4,1,1,0,2,4,3,3,3,3,,,,,,,,,,,,4,4,4,2,3,6,5
1,0,0,0,b97eb96,1,28,사무/기술직,경기,4,4,2,0,1,4,3,2,2,3,2,,,,,,,,,,,,4,3,3,2,2,6,4
1,0,0,0,d6bae39,0,26,자유/전문직,서울,4,4,,0,0,4,2,4,1,3,2,,,,,,,,,,,,4,4,3,3,4,6,9
1,0,0,0,e9dea86,1,31,무직,부산,4,4,2,0,1,3,2,3,2,2,2,,,,,,,,,,,,4,3,2,2,2,2,6
1,0,0,0,b97b78e,1,41,사무/기술직,강원,4,4,,0,0,3,2,2,3,3,3,,,,,,,,,,,,3,3,4,4,3,6,3
1,0,0,0,dfe0273,0,21,대학생,전북,3,3,1,1,0,3,1,3,1,1,3,,,,,,,,,,,,4,3,4,3,4,5,5
1,0,0,0,55c7cec,1,37,사무/기술직,서울,3,3,,0,0,3,1,4,1,2,3,,,,,,,,,,,,3,2,4,5,5,6,7
1,0,0,0,38e5621,1,53,경영/관리직,경기,4,4,,0,0,1,3,3,1,2,1,,,,,,,,,,,,4,2,2,2,2,6,11
1,0,0,0,301c262,1,59,자영업,전남,4,4,2,0,1,4,4,3,3,4,2,,,,,,,,,,,,5,4,4,4,3,4,4
1,0,0,0,8523125,1,37,자영업,경북,2,2,5,1,0,3,1,4,1,2,5,,,,,,,,,,,,4,3,3,5,5,6,4
1,0,0,0,c3fcaaf,1,37,사무/기술직,서울,4,4,1,1,0,2,2,4,1,3,4,,,,,,,,,,,,4,4,3,4,4,6,5
1,0,0,0,d5ae70d,0,21,대학생,경기,,3,,0,0,3,3,1,1,2,1,,,,,,,,,,,,4,4,1,4,2,5,4
1,0,0,0,f124378,0,46,전업주부,서울,2,2,1,1,0,4,2,4,1,1,2,,,,,,,,,,,,4,5,5,4,4,4,3
1,0,0,0,d7e2c0e,1,51,자영업,경남,2,2,1,1,0,3,3,3,3,3,2,,,,,,,,,,,,3,4,3,3,3,6,5
1,0,0,0,dd7d080,0,40,사무/기술직,서울,2,2,1,1,0,5,3,3,1,3,2,,,,,,,,,,,,5,4,3,4,4,6,7
1,0,0,0,86d96b3,0,51,판매/영업 서비스직,부산,2,2,2,0,1,4,2,4,2,2,3,,,,,,,,,,,,3,4,4,4,4,6,7
1,0,0,0,aa5b57f,1,27,판매/영업 서비스직,서울,3,3,,0,0,2,3,3,2,3,3,,,,,,,,,,,,3,4,4,3,4,4,4
1,0,0,0,bb0a23e,1,51,경영/관리직,경기,2,2,1,1,0,3,3,5,1,2,2,,,,,,,,,,,,3,3,4,4,4,6,8
1,0,0,0,ee62576,1,24,대학생,서울,4,4,2,0,1,3,2,2,2,2,3,,,,,,,,,,,,3,3,1,1,1,5,8
1,0,0,0,d214bb4,1,24,대학생,경남,3,3,,0,0,3,3,2,3,3,2,,,,,,,,,,,,3,4,4,3,3,6,3
1,0,0,0,4a3b9e1,1,42,자영업,경기,3,3,3,1,0,3,2,4,1,1,3,,,,,,,,,,,,4,3,4,4,4,6,2
1,0,0,0,38f35ee,1,56,사무/기술직,서울,3,3,,0,0,4,3,4,3,2,2,,,,,,,,,,,,3,4,2,2,4,2,6
1,0,0,0,5bda845,0,59,전업주부,경기,4,4,,0,0,3,2,4,2,2,4,,,,,,,,,,,,3,3,4,4,4,2,8
1,0,0,0,8d81d7b,1,51,사무/기술직,경북,2,2,1,1,0,4,3,3,3,3,3,,,,,,,,,,,,3,3,3,4,5,8,6
1,0,0,0,b654a80,1,24,대학생,부산,3,3,,0,0,2,3,3,3,3,2,,,,,,,,,,,,3,4,3,3,3,5,7
1,0,0,0,e06f1df,0,50,무직,대구,3,3,2,0,1,5,1,5,1,1,5,,,,,,,,,,,,4,4,4,5,5,2,3
1,0,0,0,3d143c4,1,44,사무/기술직,경기,2,2,1,1,0,2,2,5,2,2,3,,,,,,,,,,,,3,2,4,3,4,6,8
1,0,0,0,dbc0bbc,1,36,사무/기술직,경북,5,5,1,1,0,4,2,4,1,1,3,,,,,,,,,,,,4,2,4,4,4,6,5
1,0,0,0,0e517f5,0,58,전업주부,경기,5,5,2,0,1,3,2,2,2,2,3,,,,,,,,,,,,4,4,3,4,4,2,4
1,0,0,0,945b744,0,48,전업주부,인천,2,2,1,1,0,4,2,4,1,1,2,,,,,,,,,,,,4,2,4,5,5,4,8
1,0,0,0,4741ac9,1,24,무직,인천,3,3,,0,0,2,2,4,2,2,3,,,,,,,,,,,,4,1,2,3,2,8,2
1,0,0,0,e105a48,0,25,무직,서울,3,3,,0,0,2,3,4,1,3,2,,,,,,,,,,,,1,1,5,5,5,6,11
1,0,0,0,f3ae14e,1,24,사무/기술직,서울,4,4,2,0,1,2,4,4,5,4,1,,,,,,,,,,,,5,3,1,1,1,8,4
1,0,0,0,d98d1a3,0,45,전업주부,서울,2,2,3,1,0,2,1,5,1,1,3,,,,,,,,,,,,3,4,5,4,4,6,11
1,0,0,0,61af7b3,1,58,판매/영업 서비스직,서울,3,3,,0,0,2,4,3,3,3,4,,,,,,,,,,,,2,5,5,5,5,6,8
1,0,0,0,29c7367,0,57,전업주부,경기,,3,2,0,1,4,3,5,3,3,3,,,,,,,,,,,,3,3,4,4,3,2,3
1,0,0,0,65be8b9,0,22,대학생,경기,,3,,0,0,3,2,4,1,2,3,,,,,,,,,,,,3,3,3,3,3,5,5
1,0,0,0,a23e9b7,0,23,판매/영업 서비스직,경기,3,3,,0,0,2,2,4,1,2,2,,,,,,,,,,,,3,4,3,3,3,1,3
1,0,0,0,cb29897,0,47,무직,경기,2,2,,0,0,3,2,4,1,2,3,,,,,,,,,,,,3,4,4,4,4,5,7
1,0,0,0,cc173a2,1,55,자영업,부산,2,2,1,1,0,5,1,5,1,1,5,,,,,,,,,,,,4,5,5,5,5,4,3
1,0,0,0,7ff6801,0,48,기능/작업직,경기,4,4,2,0,1,3,3,2,3,3,1,,,,,,,,,,,,4,4,3,3,4,6,8
1,0,0,0,c8a828c,1,26,사무/기술직,경기,4,4,,0,0,2,3,4,3,2,3,,,,,,,,,,,,2,1,5,3,4,6,4
1,0,0,0,aa50bac,1,51,경영/관리직,서울,3,3,,0,0,5,1,5,1,1,3,,,,,,,,,,,,5,2,5,5,5,6,11
1,0,0,0,4cdda7c,0,47,사무/기술직,서울,4,4,,0,0,4,3,2,2,2,2,,,,,,,,,,,,3,4,3,3,3,2,5
1,0,0,0,957b50b,1,54,기타,제주,2,2,1,1,0,4,3,3,2,3,2,,,,,,,,,,,,3,4,4,4,4,4,5
1,0,0,0,53338e3,0,39,전업주부,대구,3,3,1,1,0,3,1,5,1,1,4,,,,,,,,,,,,4,4,5,5,5,6,3
1,0,0,0,3b12c53,0,40,전업주부,서울,2,2,1,1,0,3,3,3,1,2,2,,,,,,,,,,,,4,3,5,5,5,6,8
1,0,0,0,89ddaad,0,50,판매/영업 서비스직,서울,2,2,1,1,0,3,2,4,1,2,3,,,,,,,,,,,,4,2,4,3,3,6,4
1,0,0,0,e15114a,0,59,전업주부,경기,4,4,,0,0,5,2,4,1,2,2,,,,,,,,,,,,3,1,5,5,5,4,5
1,0,0,0,cfee973,0,46,사무/기술직,인천,3,3,,0,0,4,1,5,1,1,2,,,,,,,,,,,,2,5,5,2,4,2,9
1,0,0,0,672538c,0,57,자영업,대구,3,3,1,1,0,4,1,5,1,1,3,,,,,,,,,,,,4,4,4,4,5,6,8
1,0,0,0,85590f6,0,47,자영업,서울,2,2,1,1,0,4,2,4,1,2,4,,,,,,,,,,,,3,2,4,4,4,4,4
1,0,0,0,c26dfae,0,58,기타,경기,4,4,2,0,1,4,2,4,2,2,3,,,,,,,,,,,,3,3,3,3,3,2,3
1,0,0,0,dcc7014,0,51,자영업,서울,3,3,,0,0,3,1,4,4,2,3,,,,,,,,,,,,2,2,5,4,4,6,5
1,0,0,0,d58282d,0,27,판매/영업 서비스직,인천,2,2,6,0,0,5,1,5,1,1,5,,,,,,,,,,,,4,3,2,5,4,6,3
1,0,0,0,4bbe558,0,53,전업주부,서울,2,2,,0,0,5,1,5,1,1,4,,,,,,,,,,,,4,4,5,5,4,2,10
1,0,0,0,52447b2,1,51,사무/기술직,서울,2,2,1,1,0,4,2,4,2,2,2,,,,,,,,,,,,5,4,4,4,4,6,11
1,0,0,0,d2eff2a,0,46,자유/전문직,경기,2,2,,0,0,4,2,4,1,2,3,,,,,,,,,,,,4,4,5,4,5,8,6
1,0,0,0,cd76fb1,0,34,사무/기술직,경기,4,4,4,0,0,4,2,5,1,1,5,,,,,,,,,,,,3,2,5,5,5,8,4
1,0,0,0,9104fa2,1,26,사무/기술직,경남,4,4,,0,0,2,3,3,2,3,2,,,,,,,,,,,,5,2,2,2,2,6,6
1,0,0,0,09d8a1c,1,27,무직,충북,3,3,,0,0,1,3,2,4,4,3,,,,,,,,,,,,4,4,3,1,4,6,7
1,0,0,0,a1baa32,0,39,사무/기술직,전북,3,3,,0,0,2,1,5,1,1,3,,,,,,,,,,,,3,4,5,4,5,6,6
1,0,0,0,2e7a5a0,0,51,사무/기술직,부산,2,2,,0,0,5,1,5,1,1,5,,,,,,,,,,,,4,4,4,5,5,6,7
1,0,0,0,60e1516,1,33,자유/전문직,경기,3,3,1,1,0,2,2,2,2,2,1,,,,,,,,,,,,4,3,2,2,2,6,9
1,0,0,0,ed35722,1,58,자유/전문직,강원,2,2,4,0,0,4,2,2,3,2,2,,,,,,,,,,,,5,5,5,4,4,8,6
1,0,0,0,da262a6,0,47,전업주부,부산,2,2,1,1,0,3,2,4,1,2,4,,,,,,,,,,,,4,4,4,3,5,6,7
1,0,0,0,52a7249,0,32,전업주부,경기,3,3,,0,0,4,3,3,1,3,2,,,,,,,,,,,,5,5,4,5,5,6,5
1,0,0,0,8c36e60,0,42,사무/기술직,대구,3,3,,0,0,4,1,5,1,1,5,,,,,,,,,,,,3,4,4,4,4,8,7
1,0,0,0,2aa655f,1,25,무직,경남,4,4,,0,0,1,3,3,2,3,2,,,,,,,,,,,,4,4,3,2,2,6,4
